,Track name,Artists,Album Name,Album ID,Track ID,Popularity,Release date,Duration (ms),Explicit,External urls,Danceability,Energy,Key,Loudness,Speechiness,Mode,Acousticness,Instrumentalness,Liveness,Valence,Tempo
66,Rupkotha,Warfaze,Shotto,3OXzR6q3oubuiAm90kJAYI,3GTo0Zn1308jwz2q2EwYEB,11,2019-02-05,397572,False,https://open.spotify.com/track/3GTo0Zn1308jwz2q2EwYEB,0.47,0.589,0,-8.072,0.029,0,0.0391,6.93e-05,0.246,0.322,180.012
67,Maharaj (Samasto Sikhore),Warfaze,Pathchala,4cyc9rSyklY4JtbwAjVsnc,4z11TYbYDx4ZpsrdUP2UtQ,5,2012-04-26,277317,False,https://open.spotify.com/track/4z11TYbYDx4ZpsrdUP2UtQ,0.51,0.928,10,-6.31,0.0687,0,3.62e-05,3.4e-06,0.208,0.678,133.147
68,Osamajik (Sararaat Bahire Dekhi),Warfaze,Pathchala,4cyc9rSyklY4JtbwAjVsnc,03WtA9Jleq03AXMj0FjmCu,9,2012-04-26,289150,False,https://open.spotify.com/track/03WtA9Jleq03AXMj0FjmCu,0.462,0.955,4,-2.972,0.0562,0,0.00012,0.0,0.109,0.422,136.016
69,Bose Aachhi (Bose Aachhi Eka),Warfaze,Pathchala,4cyc9rSyklY4JtbwAjVsnc,4PIrHcNo9aVhKrlk9hPOLG,17,2012-04-26,399962,False,https://open.spotify.com/track/4PIrHcNo9aVhKrlk9hPOLG,0.431,0.88,7,-6.314,0.0507,1,0.000507,0.000613,0.333,0.518,136.924
70,Hotasha (Sakal Theke Raatri),Warfaze,Pathchala,4cyc9rSyklY4JtbwAjVsnc,5In1eNl66xepzcOUfu67Jy,4,2012-04-26,318251,False,https://open.spotify.com/track/5In1eNl66xepzcOUfu67Jy,0.395,0.986,8,-2.858,0.142,1,0.000127,2.03e-05,0.18,0.475,146.145
71,Obak Bhalobasha (Sob Aalo Nibe Ja),Warfaze,Pathchala,4cyc9rSyklY4JtbwAjVsnc,74MnX5SrkGB6Y9LsmQvZSQ,19,2012-04-26,441784,False,https://open.spotify.com/track/74MnX5SrkGB6Y9LsmQvZSQ,0.662,0.499,0,-8.176,0.0267,0,0.132,0.000152,0.094,0.518,124.968
72,Sudhu Sudhui Bhabona,Warfaze,Pathchala,4cyc9rSyklY4JtbwAjVsnc,6GMZMltFHDkjuR0xVZnWPd,12,2012-04-26,330163,False,https://open.spotify.com/track/6GMZMltFHDkjuR0xVZnWPd,0.525,0.497,3,-5.469,0.0248,1,0.0597,9.2e-05,0.104,0.131,100.155
73,Joto Dure (Chup Chap Chari Dik),Warfaze,Pathchala,4cyc9rSyklY4JtbwAjVsnc,6vcvyBC1nWo8q2esjcHyEz,10,2012-04-26,359132,False,https://open.spotify.com/track/6vcvyBC1nWo8q2esjcHyEz,0.364,0.726,7,-6.953,0.0347,1,0.00491,0.000697,0.319,0.346,134.945
74,Acid,Fossils,"Fossils, Vol. 2",5xUQkYBbkLhCfwxi9z46Rp,5B7cI5aJxqwqtGeftSjBiH,34,2004,328204,False,https://open.spotify.com/track/5B7cI5aJxqwqtGeftSjBiH,0.709,0.895,8,-4.33,0.0838,1,0.00935,4.78e-06,0.142,0.332,134.071
75,Haajar Bichhana,Fossils,Fossils 4,17BB4bxdlP3FvnX8TyqhqB,63hdFZIL9g8LYE41aBuWHS,37,2014,414629,False,https://open.spotify.com/track/63hdFZIL9g8LYE41aBuWHS,0.535,0.886,9,-6.101,0.0466,1,0.00721,0.0,0.146,0.306,136.014
